,Instrument,Price Close
2004-08-13,.SPXTR,1570.4444
2004-08-16,.SPXTR,1591.937
2004-08-17,.SPXTR,1595.574
2004-08-18,.SPXTR,1615.7209
2004-08-19,.SPXTR,1609.9689
2004-08-20,.SPXTR,1620.4724
2004-08-23,.SPXTR,1616.6802
2004-08-24,.SPXTR,1617.458
2004-08-25,.SPXTR,1630.4846
2004-08-26,.SPXTR,1630.6831
2004-08-27,.SPXTR,1634.8316
2004-08-30,.SPXTR,1622.2786
2004-08-31,.SPXTR,1629.828
2004-09-01,.SPXTR,1632.8185
2004-09-02,.SPXTR,1651.1397
2004-09-03,.SPXTR,1644.2526
2004-09-03,.SPXTR,1644.2526
2004-09-08,.SPXTR,1648.5195
2004-09-09,.SPXTR,1651.6519
2004-09-10,.SPXTR,1659.8357
2004-09-13,.SPXTR,1663.0976
2004-09-14,.SPXTR,1666.8161
2004-09-15,.SPXTR,1655.1008
2004-09-16,.SPXTR,1659.7797
2004-09-17,.SPXTR,1667.2485
2004-09-20,.SPXTR,1657.8767
2004-09-21,.SPXTR,1668.3855
2004-09-22,.SPXTR,1645.1659
2004-09-23,.SPXTR,1637.816
2004-09-24,.SPXTR,1640.3978
2004-09-27,.SPXTR,1630.6678
2004-09-28,.SPXTR,1640.6168
2004-09-29,.SPXTR,1647.7893
2004-09-30,.SPXTR,1647.4803
2004-10-01,.SPXTR,1672.4867
2004-10-04,.SPXTR,1678.1039
2004-10-05,.SPXTR,1677.0923
2004-10-06,.SPXTR,1688.8266
2004-10-07,.SPXTR,1672.0767
2004-10-08,.SPXTR,1659.5101
2004-10-11,.SPXTR,1662.8354
2004-10-13,.SPXTR,1647.1267
2004-10-14,.SPXTR,1631.806
2004-10-15,.SPXTR,1639.08
2004-10-18,.SPXTR,1647.6948
2004-10-19,.SPXTR,1631.7365
2004-10-20,.SPXTR,1632.4885
2004-10-21,.SPXTR,1636.7602
2004-10-22,.SPXTR,1620.853
2004-10-25,.SPXTR,1619.4786
2004-10-26,.SPXTR,1643.5698
2004-10-27,.SPXTR,1665.0135
2004-10-28,.SPXTR,1668.5505
2004-10-29,.SPXTR,1672.6485
2004-11-01,.SPXTR,1673.1047
2004-11-02,.SPXTR,1673.1606
2004-11-03,.SPXTR,1692.2237
2004-11-04,.SPXTR,1719.6407
2004-11-05,.SPXTR,1726.339
2004-11-08,.SPXTR,1724.5918
2004-11-09,.SPXTR,1724.0755
